NOTAM_REC_ID,FNS_ID,FILENAME,NOTAM_ID,NOTAM_TYPE,RELATED_NOTAM_ID,SIMPLE_TEXT,LOC_ID_ACCOUNTABLE_ORG,NOTAM_NUMBER,RELATED_NOTAM_NUMBER,TEXT,Q_CODE,Q_CODE_INTERPRETATION,A_CODE,B_CODE,C_CODE,D_CODE,E_CODE,F_CODE,G_CODE,CLASSIFICATION,POSSIBLE_NOTAM_ID,MIN_ALT,MAX_ALT,MIN_ALT_REF_TYPE,MAX_ALT_REF_TYPE,POSSIBLE_START_DATE,POSSIBLE_END_DATE,ISSUE_DATE,CANCELED_DATE,AFFECTED_FIR,DESIGNATOR,DESIGNATOR_NAME,LOCATION_NAME,ACCOUNT_ID,LOCATION_CODE,LAUNCHES_REC_ID
537,FNS_ID_43135691,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T204549Z_tmp.xml,A0221/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,AD AP ALL SFC WIP GRASS CUTTING,KZMA/QFAXX////000/999/2433N08146W005,AERODROME,KEYW,30:00.0,00:00.0,DLY 0230-1000,AD AP ALL SFC WIP GRASS CUTTING ,0,999,INTL,A0221/16 NOTAMN,0,999,MSL,MSL,30:00.0,00:00.0,36:00.0,NULL,KZMA,NULL,NULL,KEY WEST INTL,KEYW,EYW,NULL
538,FNS_ID_43135658,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T204549Z_tmp.xml,05/059,NOTAMN,NULL,!YKM 05/059 YKM NAV VORTAC NOT MNT 1605260700-1605261300,YKM,05/059,NULL,NAV VORTAC NOT MNT,NULL,NULL,YKM,00:00.0,00:00.0,NULL,NAV VORTAC NOT MNT,0,999,DOM,0059/16 NOTAMN,0,999,MSL,MSL,00:00.0,00:00.0,35:00.0,NULL,ZSE,YKM,NULL,YKM-VORTAC,YKM,YKM,NULL
539,FNS_ID_41788907,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T204549Z_tmp.xml,8112/15,NOTAMN,NULL,"!FDC 5/8112 TN19 SPECIAL ROANE MEDICAL CENTER, HARRIMAN, TN. COPTER RNAV (GPS) 084 DEPARTURE (PILOT NAV) ... PROCEDURE NA. 1511251820-1605261820EST",FDC,May-12,NULL,"SPECIAL ROANE MEDICAL CENTER, HARRIMAN, TN. COPTER RNAV (GPS) 084 DEPARTURE (PILOT NAV) ... PROCEDURE NA. 1511251820-1605261820EST",ZTL/QXXXX/I/NBO/A/000/999/3556N08433W025,NULL,NULL,57:00.0,56:00.0,NULL,"SPECIAL ROANE MEDICAL CENTER, HARRIMAN, TN. COPTER RNAV (GPS) 084 DEPARTURE (PILOT NAV) ... PROCEDURE NA.",NULL,NULL,FDC,8112/15 NOTAMN,0,999,NULL,NULL,20:00.0,20:00.0,21:00.0,40:00.0,NULL,NULL,NULL,ROANE MEDICAL CENTER,FDC,TN19,NULL
540,FNS_ID_43135724,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T204549Z_tmp.xml,Jun-59,NOTAMC,Jun-69,!FDC 6/9159 FDC CANCEL 6/8569 CEY,FDC,Jun-59,Jun-69,FDC 6/9159 NOTAMC 6/8569 A) CEY,NULL,NULL,CEY,NULL,NULL,NULL,FDC 6/9159 NOTAMC 6/8569 A) CEY,NULL,NULL,FDC,9159/16 NOTAMC,NULL,NULL,NULL,NULL,40:00.0,40:00.0,40:00.0,NULL,NULL,NULL,NULL,FDC,FDC,FDC,NULL
541,FNS_ID_43135713,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T204549Z_tmp.xml,Jun-57,NOTAMC,May-12,!FDC 6/9157 FDC CANCEL 5/8112 TN19,FDC,Jun-57,May-12,FDC 6/9157 NOTAMC 5/8112 A) TN19,NULL,NULL,TN19,NULL,NULL,NULL,FDC 6/9157 NOTAMC 5/8112 A) TN19,NULL,NULL,FDC,9157/16 NOTAMC,NULL,NULL,NULL,NULL,40:00.0,40:00.0,40:00.0,NULL,NULL,NULL,NULL,FDC,FDC,FDC,NULL
542,FNS_ID_43135689,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T204549Z_tmp.xml,A1748/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,"CRANE OPR PSN 555720N 0032436W (EDINBURGH). MAX HGT 328FT AMSL, 44FT  AGL. CRANE WILL BE LOWERED DURING LVP",EGPX/QOBCE/IV/M,OBSTACLE ERECTED,EGPH,30:00.0,00:00.0,0630-1700,"CRANE OPR PSN 555720N 0032436W (EDINBURGH). MAX HGT 328FT AMSL, 44FT  AGL. CRANE WILL BE LOWERED DURING LVP ",0,4,INTL,A1748/16 NOTAMN,0,4,MSL,MSL,30:00.0,00:00.0,35:00.0,NULL,EGPX,NULL,NULL,EDINBURGH,EGGNYNYX,EGPH,NULL
543,FNS_ID_43135730,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T204549Z_tmp.xml,05/007,NOTAMN,NULL,!GDV 05/007 GDV NAV NDB OUT OF SERVICE 1605242042-1606012100EST,GDV,05/007,NULL,NAV NDB OUT OF SERVICE,NULL,NULL,GDV,42:00.0,00:00.0,NULL,NAV NDB OUT OF SERVICE,0,999,DOM,0007/16 NOTAMN,0,999,MSL,MSL,42:00.0,00:00.0,42:00.0,NULL,ZLC,GDV,NULL,GDV-NDB,GDV,GDV,NULL
544,FNS_ID_43114972,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T204549Z_tmp.xml,0266/16,NOTAMN,NULL,!LOU 05/266 I35 OBST TOWER LGT (ASR 1044817) 370828.00N0832843.00W (17.8NM NNW I35) 2063.6FT (210.0FT AGL) OUT OF SERVICE 1605210156-1606200156,LOU,05/266,NULL,OBST TOWER LGT (ASR 1044817) 370828.00N0832843.00W (17.8NM NNW I35) 2063.6FT (210.0FT AGL) OUT OF SERVICE,NULL,NULL,NULL,NULL,NULL,NULL,OBST TOWER LGT (ASR 1044817) 370828.00N0832843.00W (17.8NM NNW I35) 2063.6FT (210.0FT AGL) OUT OF SERVICE,NULL,NULL,DOM,0266/16 NOTAMN,NULL,NULL,NULL,NULL,56:00.0,56:00.0,56:00.0,37:00.0,NULL,I35,TUCKER-GUTHRIE MEMORIAL,TUCKER-GUTHRIE MEMORIAL,LOU,I35,NULL
545,FNS_ID_43132783,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T204549Z_tmp.xml,0416/16,NOTAMN,NULL,!ANB 05/416 09A OBST TOWER LGT (ASR 1276022) 320503.60N0881323.80W  (5.4NM WSW 09A) 459.0FT (305.1FT AGL) OUT OF SERVICE 1605241505-1606231505,ANB,05/416,NULL,OBST TOWER LGT (ASR 1276022) 320503.60N0881323.80W (5.4NM WSW 09A) 459.0FT (305.1FT AGL) OUT OF SERVICE,NULL,NULL,459.0FT,NULL,NULL,NULL,OBST TOWER LGT (ASR 1276022) 320503.60N0881323.80W (5.4NM WSW 09A) 459.0FT (305.1FT AGL) OUT OF SERVICE,NULL,NULL,DOM,0416/16 NOTAMN,NULL,NULL,NULL,NULL,05:00.0,05:00.0,13:00.0,36:00.0,NULL,09A,BUTLER-CHOCTAW COUNTY,BUTLER-CHOCTAW COUNTY,ANB,09A,NULL
546,FNS_ID_43135710,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T204549Z_tmp.xml,0014/16,NOTAMN,NULL,!UNO 05/014 UNO OBST TOWER LGT (ASR 1241362) 364848.50N0915402.80W  (3.9NM S UNO) 1516.4FT (309.7FT AGL) OUT OF SERVICE 1605242039-1606232035,UNO,05/014,NULL,OBST TOWER LGT (ASR 1241362) 364848.50N0915402.80W (3.9NM S UNO) 1516.4FT (309.7FT AGL) OUT OF SERVICE,NULL,NULL,NULL,NULL,NULL,NULL,OBST TOWER LGT (ASR 1241362) 364848.50N0915402.80W (3.9NM S UNO) 1516.4FT (309.7FT AGL) OUT OF SERVICE,NULL,NULL,DOM,0014/16 NOTAMN,NULL,NULL,NULL,NULL,39:00.0,35:00.0,39:00.0,NULL,NULL,UNO,WEST PLAINS RGNL,WEST PLAINS RGNL,UNO,KUNO,NULL
547,FNS_ID_43131883,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T204549Z_tmp.xml,8569/16,NOTAMN,NULL,"!FDC 6/8569 CEY IAP KYLE-OAKLEY FIELD, MURRAY, KY. LOC RWY 23, AMDT 2A... PROCEDURE NA EXCEPT FOR AIRCRAFT EQUIPPED WITH SUITABLE RNAV SYSTEM WITH GPS, MUREY (EU) LOM OUT OF SERVICE. 1605241338-1606241338EST",FDC,Jun-69,NULL,"IAP KYLE-OAKLEY FIELD, MURRAY, KY. LOC RWY 23, AMDT 2A... PROCEDURE NA EXCEPT FOR AIRCRAFT EQUIPPED WITH SUITABLE RNAV SYSTEM WITH GPS, MUREY (EU) LOM OUT OF SERVICE. 1605241338-1606241338EST",ZME//NBO/A/000/999/3639N08822W025,NULL,KCEY,37:00.0,36:00.0,NULL,"IAP KYLE-OAKLEY FIELD, MURRAY, KY. LOC RWY 23, AMDT 2A... PROCEDURE NA EXCEPT FOR AIRCRAFT EQUIPPED WITH SUITABLE RNAV SYSTEM WITH GPS, MUREY (EU) LOM OUT OF SERVICE.",NULL,NULL,FDC,8569/16 NOTAMN,0,999,NULL,NULL,38:00.0,38:00.0,38:00.0,40:00.0,NULL,CEY,MURRAY,KYLE-OAKLEY FIELD,FDC,KCEY,NULL
548,FNS_ID_43135715,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T204549Z_tmp.xml,0018/16,NOTAMN,NULL,!BQK 05/018 BQK NAV VOT OUT OF SERVICE 1605242040-1611242359EST,BQK,05/018,NULL,NAV VOT OUT OF SERVICE,NULL,NULL,KBQK,40:00.0,59:00.0,NULL,NAV VOT OUT OF SERVICE,0,999,DOM,0018/16 NOTAMN,0,999,MSL,MSL,40:00.0,59:00.0,40:00.0,NULL,ZJX,BQK,BRUNSWICK GOLDEN ISLES,BRUNSWICK GOLDEN ISLES,BQK,KBQK,NULL
549,FNS_ID_43135739,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205148Z_tmp.xml,0668/16,NULL,NULL,!SUAC 05/668 ZFW AIRSPACE SHEPPARD 2 MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180 1605250236-1605250445,SUAC,05/668,NULL,AIRSPACE SHEPPARD 2 MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE SHEPPARD 2 MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,DOM,0668/16,80,180,NULL,NULL,36:00.0,45:00.0,40:00.0,NULL,NULL,NULL,NULL,ZFW ARTCC,SUAC,ZFW,NULL
550,FNS_ID_43135740,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205148Z_tmp.xml,0831/16,NULL,NULL,!SUAW 05/831 ZLA AIRSPACE R2311 ACT SFC-3500FT 1605250237-1605250700,SUAW,05/831,NULL,AIRSPACE R2311 ACT SFC-3500FT,/QRRCA/,RESTRICTED AREA ACTIVATED,NULL,NULL,NULL,NULL,AIRSPACE R2311 ACT SFC-3500FT,SFC,3500FT,DOM,0831/16,0,35,AGL,NULL,37:00.0,00:00.0,40:00.0,NULL,NULL,NULL,NULL,ZLA ARTCC,SUAW,ZLA,NULL
551,FNS_ID_43135752,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205148Z_tmp.xml,05/052,NOTAMN,NULL,!LNK 05/052 LNK NAV ILS RWY 36 LOC UNUSABLE DA TO TDZ 1605251300-1605251530,LNK,05/052,NULL,NAV ILS RWY 36 LOC UNUSABLE DA TO TDZ,ZMP//I/NBO/A/000/999/4051N09645W005,NULL,KLNK,00:00.0,30:00.0,NULL, NAV ILS RWY 36 LOCALIZER UNUSABLE DA TO TDZ ,0,999,DOM,0052/16 NOTAMN,0,999,MSL,MSL,00:00.0,30:00.0,45:00.0,NULL,ZMP,LNK,LINCOLN,LINCOLN,LNK,KLNK,NULL
552,FNS_ID_43135749,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205148Z_tmp.xml,05/051,NOTAMN,NULL,!LNK 05/051 LNK NAV ILS RWY 18 OUT OF SERVICE 1605251300-1605251530,LNK,05/051,NULL,NAV ILS RWY 18 OUT OF SERVICE,ZMP//I/NBO/A/000/999/4051N09645W005,NULL,KLNK,00:00.0,30:00.0,NULL, NAV ILS RWY 18 OUT OF SERVICE ,0,999,DOM,0051/16 NOTAMN,0,999,MSL,MSL,00:00.0,30:00.0,44:00.0,NULL,ZMP,LNK,LINCOLN,LINCOLN,LNK,KLNK,NULL
553,FNS_ID_43119086,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205148Z_tmp.xml,A0711/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,MICROBURST/WINDSHEAR DETECTION SYSTEM NOT AVBL,KZAU/QXXXX////000/999/,NULL,KCID,00:00.0,00:00.0,NULL,MICROBURST/WINDSHEAR DETECTION SYSTEM NOT AVBL ,0,999,INTL,A0711/16 NOTAMN,0,999,MSL,MSL,00:00.0,00:00.0,01:00.0,42:00.0,KZAU,NULL,NULL,THE EASTERN IOWA,KCID,CID,NULL
554,FNS_ID_43135750,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205148Z_tmp.xml,05/022,NOTAMN,NULL,!PNS 05/022 PNS NAV ILS RWY 26 LOC OUT OF SERVICE 1605251700-1605252100,PNS,05/022,NULL,NAV ILS RWY 26 LOC OUT OF SERVICE,ZJX//I/NBO/A/000/999/3028N08711W005,NULL,KPNS,00:00.0,00:00.0,NULL, NAV ILS RWY 26 LOCALIZER OUT OF SERVICE ,0,999,DOM,0022/16 NOTAMN,0,999,MSL,MSL,00:00.0,00:00.0,44:00.0,NULL,ZJX,PNS,PENSACOLA INTL,PENSACOLA INTL,PNS,KPNS,NULL
555,FNS_ID_43135741,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205148Z_tmp.xml,0067/16,NULL,NULL,!YXL 05/067 PV8  CPV8 AD CHART: TAKE-OFF MINIMA TO READ: RWY 31 NOT ASSESSED  1605251300-1605252330,YXL,05/067,NULL,CPV8 AD CHART: TAKE-OFF MINIMA TO READ: RWY 31 NOT ASSESSED,NULL,NULL,NULL,NULL,NULL,NULL,CPV8 AD CHART: TAKE-OFF MINIMA TO READ: RWY 31 NOT ASSESSED,NULL,NULL,DOM,0067/16,NULL,NULL,NULL,NULL,00:00.0,30:00.0,41:00.0,NULL,NULL,NULL,NULL,KEEWAYWIN.,YXL,PV8,NULL
556,FNS_ID_43135735,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205148Z_tmp.xml,05/037,NOTAMN,NULL,!CAE 05/037 CAE OBST CRANE (ASN UNKNOWN) 335643N0810733W (1.07NM W APCH END RWY 23)  UNKNOWN (65FT AGL) FLAGGED DLY SR-SS 1605251130-1605262300,CAE,05/037,NULL,OBST CRANE (ASN UNKNOWN) 335643N0810733W (1.07NM W APCH END RWY 23)  UNKNOWN (65FT AGL) FLAGGED DLY SR-SS,ZJX/QOBXX/IV/M/AE/000//3356N08107W005,OBSTACLE,KCAE,30:00.0,00:00.0,NULL,OBST CRANE UNK (20) 1.07 W( 335643N0810733W) APCH END RWY 23 FLAGGED ,0,999,DOM,0037/16 NOTAMN,0,999,MSL,MSL,30:00.0,00:00.0,43:00.0,NULL,ZJX,CAE,COLUMBIA METROPOLITAN,COLUMBIA METROPOLITAN,CAE,KCAE,NULL
557,FNS_ID_43135755,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205148Z_tmp.xml,M0527/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,"ARFF REDUCED LEVEL OF SERVICE TO YELLOW, USAF CAT 4 AIRCRAFT DUE TO SHORTAGE, 50,000 GALS REMAINING.",ZFW/QFAXX/IV/NBO/A/000/999/3439N09916W005,AERODROME,KLTS,44:00.0,30:00.0,NULL," ARFF REDUCED LEVEL OF SERVICE TO YELLOW, USAF CAT 4 AIRCRAFT DUE TO SHORTAGE, 50,000 GALS REMAINING.",0,999,MIL,M0527/16 NOTAMN,0,999,MSL,MSL,44:00.0,30:00.0,48:00.0,NULL,ZFW,NULL,NULL,ALTUS AFB,KLTS,LTS,NULL
558,FNS_ID_43135744,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205148Z_tmp.xml,A0724/16,NOTAMC,A0711/16,NULL,NULL,NULL,NULL,A0724/16 NOTAMC A0711/16  Q) KZAU/QXXXX////000/999/  A) KCID B) 1605242042 E)  MICROBURST/WINDSHEAR DETECTION SYSTEM NOT AVBL CANCELED,KZAU/QXXXX////000/999/,NULL,KCID,42:00.0,NULL,NULL,MICROBURST/WINDSHEAR DETECTION SYSTEM NOT AVBL CANCELED ,0,999,INTL,A0724/16 NOTAMC,0,999,MSL,MSL,42:00.0,42:00.0,42:00.0,NULL,KZAU,NULL,NULL,THE EASTERN IOWA,KCID,CID,NULL
559,FNS_ID_43124690,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205148Z_tmp.xml,9163/16,NOTAMN,NULL,"!FDC 6/9163 HOM IAP HOMER, HOMER, AK. LOC/DME RWY 4, AMDT 10A... PROCEDURE NA EXCEPT FOR AIRCRAFT EQUIPPED WITH SUITABLE RNAV SYSTEM WITH GPS, ACE NDB OUT OF SERVICE. 1605242043-1605312043EST",FDC,Jun-63,NULL,"IAP HOMER, HOMER, AK. LOC/DME RWY 4, AMDT 10A... PROCEDURE NA EXCEPT FOR AIRCRAFT EQUIPPED WITH SUITABLE RNAV SYSTEM WITH GPS, ACE NDB OUT OF SERVICE. 1605242043-1605312043EST",ZAN//NBO/A/000/999/5938N15128W025,NULL,PAHO,57:00.0,57:00.0,NULL,"IAP HOMER, HOMER, AK. LOC/DME RWY 4, AMDT 10A... PROCEDURE NA EXCEPT FOR AIRCRAFT EQUIPPED WITH SUITABLE RNAV SYSTEM WITH GPS, ACE NDB OUT OF SERVICE.",NULL,NULL,FDC,9163/16 NOTAMN,0,999,NULL,NULL,43:00.0,43:00.0,44:00.0,NULL,NULL,HOM,HOMER,HOMER,FDC,PAHO,NULL
560,FNS_ID_43089675,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205608Z_tmp.xml,05/006,NOTAMN,NULL,!SDM 05/006 PGY NAV VORTAC OUT OF SERVICE 1605241500-1605242130,SDM,05/006,NULL,NAV VORTAC OUT OF SERVICE,NULL,NULL,PGY,00:00.0,30:00.0,NULL,NAV VORTAC OUT OF SERVICE,0,999,DOM,0006/16 NOTAMN,0,999,MSL,MSL,00:00.0,30:00.0,01:00.0,49:00.0,ZLA,PGY,NULL,PGY-VORTAC,SDM,PGY,NULL
561,FNS_ID_43127487,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205608Z_tmp.xml,05/155,NOTAMN,NULL,!RIU 05/155 AVE NAV TACAN OUT OF SERVICE 1605241630-1605242130,RIU,05/155,NULL,NAV TACAN OUT OF SERVICE,NULL,NULL,AVE,30:00.0,30:00.0,NULL,NAV TACAN OUT OF SERVICE,0,999,DOM,0155/16 NOTAMN,0,999,MSL,MSL,30:00.0,30:00.0,34:00.0,48:00.0,ZLA,AVE,NULL,AVE-VORTAC,RIU,AVE,NULL
562,FNS_ID_43135777,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205608Z_tmp.xml,05/008,NOTAMR,NULL,!SDM 05/008 PGY NAV VORTAC OUT OF SERVICE 1605242049-1605242200,SDM,05/008,NULL,NAV VORTAC OUT OF SERVICE,NULL,NULL,PGY,49:00.0,00:00.0,NULL,NAV VORTAC OUT OF SERVICE,0,999,DOM,0008/16 NOTAMN,0,999,MSL,MSL,49:00.0,00:00.0,49:00.0,NULL,ZLA,PGY,NULL,PGY-VORTAC,SDM,PGY,NULL
563,FNS_ID_43135768,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205608Z_tmp.xml,A0588/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,AD AP RVR ALL OUT OF SERVICE,KZMA/QFAXX////000/999/2641N08006W005,AERODROME,KPBI,36:00.0,00:00.0,NULL,AD AP RVR ALL OUT OF SERVICE ,0,999,INTL,A0588/16 NOTAMN,0,999,MSL,MSL,36:00.0,00:00.0,44:00.0,NULL,KZMA,NULL,NULL,PALM BEACH INTL,KPBI,PBI,NULL
564,FNS_ID_43135758,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205608Z_tmp.xml,0669/16,NULL,NULL,!SUAC 05/669 ZKC AIRSPACE AR318(W) ACT FL190-FL220 1605242300-1605242359,SUAC,05/669,NULL,AIRSPACE AR318(W) ACT FL190-FL220,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE AR318(W) ACT FL190-FL220,NULL,NULL,DOM,0669/16,190,220,NULL,NULL,00:00.0,59:00.0,45:00.0,NULL,NULL,NULL,NULL,ZKC ARTCC,SUAC,ZKC,NULL
565,FNS_ID_43135759,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205608Z_tmp.xml,0670/16,NULL,NULL,!SUAC 05/670 ZAU AIRSPACE AR318(W) ACT FL190-FL220 1605242300-1605242359,SUAC,05/670,NULL,AIRSPACE AR318(W) ACT FL190-FL220,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE AR318(W) ACT FL190-FL220,NULL,NULL,DOM,0670/16,190,220,NULL,NULL,00:00.0,59:00.0,45:00.0,NULL,NULL,NULL,NULL,ZAU ARTCC,SUAC,ZAU,NULL
566,FNS_ID_43135763,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205608Z_tmp.xml,0674/16,NULL,NULL,!SUAC 05/674 ZFW AIRSPACE WASHITA MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180 1605250240-1605250445,SUAC,05/674,NULL,AIRSPACE WASHITA MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE WASHITA MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,DOM,0674/16,80,180,NULL,NULL,40:00.0,45:00.0,45:00.0,NULL,NULL,NULL,NULL,ZFW ARTCC,SUAC,ZFW,NULL
567,FNS_ID_43135761,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205608Z_tmp.xml,0672/16,NULL,NULL,!SUAC 05/672 ZFW AIRSPACE WESTOVER 2 MOA ACT 10000FT UP TO BUT NOT INCLUDING FL180 1605250244-1605250445,SUAC,05/672,NULL,AIRSPACE WESTOVER 2 MOA ACT 10000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE WESTOVER 2 MOA ACT 10000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,DOM,0672/16,100,180,NULL,NULL,44:00.0,45:00.0,45:00.0,NULL,NULL,NULL,NULL,ZFW ARTCC,SUAC,ZFW,NULL
568,FNS_ID_43135762,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205608Z_tmp.xml,0673/16,NULL,NULL,!SUAC 05/673 ZFW AIRSPACE SHEPPARD 1 MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180 1605250240-1605250445,SUAC,05/673,NULL,AIRSPACE SHEPPARD 1 MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE SHEPPARD 1 MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,DOM,0673/16,80,180,NULL,NULL,40:00.0,45:00.0,45:00.0,NULL,NULL,NULL,NULL,ZFW ARTCC,SUAC,ZFW,NULL
569,FNS_ID_43135760,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205608Z_tmp.xml,0671/16,NULL,NULL,!SUAC 05/671 ZFW AIRSPACE WESTOVER 1 MOA ACT 9500FT UP TO BUT NOT INCLUDING FL180 1605250241-1605250445,SUAC,05/671,NULL,AIRSPACE WESTOVER 1 MOA ACT 9500FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE WESTOVER 1 MOA ACT 9500FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,DOM,0671/16,95,180,NULL,NULL,41:00.0,45:00.0,45:00.0,NULL,NULL,NULL,NULL,ZFW ARTCC,SUAC,ZFW,NULL
570,FNS_ID_43135781,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205608Z_tmp.xml,05/060,NOTAMN,NULL,!SJC 05/060 SJC NAV ILS RWY 30L OUT OF SERVICE 1605250630-1605251300,SJC,05/060,NULL,NAV ILS RWY 30L OUT OF SERVICE,ZOA//I/NBO/A/000/999/3721N12155W005,NULL,KSJC,30:00.0,00:00.0,NULL, NAV ILS RWY 30L OUT OF SERVICE ,0,999,DOM,0060/16 NOTAMN,0,999,MSL,MSL,30:00.0,00:00.0,50:00.0,NULL,ZOA,SJC,NORMAN Y MINETA SAN JOSE INTL,NORMAN Y MINETA SAN JOSE INTL,SJC,KSJC,NULL
571,FNS_ID_43135795,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205608Z_tmp.xml,05/061,NOTAMN,NULL,!SJC 05/061 SJC NAV ILS RWY 12R OUT OF SERVICE 1605250630-1605251300,SJC,05/061,NULL,NAV ILS RWY 12R OUT OF SERVICE,ZOA//I/NBO/A/000/999/3721N12155W005,NULL,KSJC,30:00.0,00:00.0,NULL, NAV ILS RWY 12R OUT OF SERVICE ,0,999,DOM,0061/16 NOTAMN,0,999,MSL,MSL,30:00.0,00:00.0,51:00.0,NULL,ZOA,SJC,NORMAN Y MINETA SAN JOSE INTL,NORMAN Y MINETA SAN JOSE INTL,SJC,KSJC,NULL
572,FNS_ID_43114127,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205608Z_tmp.xml,0005/16,NULL,NULL,!YXR 05/005 YXR  CYXR FUEL 100LL NOT AVBL  1605202103-1605251600,YXR,05/005,NULL,CYXR FUEL 100LL NOT AVBL,NULL,NULL,NULL,NULL,NULL,NULL,CYXR FUEL 100LL NOT AVBL,NULL,NULL,DOM,0005/16,NULL,NULL,NULL,NULL,03:00.0,00:00.0,05:00.0,47:00.0,NULL,NULL,NULL,TIMISKAMING RGNL,YXR,YXR,NULL
573,FNS_ID_43135784,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205608Z_tmp.xml,0020/16,NULL,NULL,!YOW 05/020 YOW  CYOW RWY 14/32 CLSD  1605251300-1605251900,YOW,05/020,NULL,CYOW RWY 14/32 CLSD,NULL,NULL,NULL,NULL,NULL,NULL,CYOW RWY 14/32 CLSD,NULL,NULL,DOM,0020/16,NULL,NULL,NULL,NULL,00:00.0,00:00.0,48:00.0,NULL,CZUL,NULL,NULL,OTTAWA/MACDONALD-CARTIER INTL,YOW,YOW,NULL
574,FNS_ID_43135757,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T205608Z_tmp.xml,05/177,NOTAMN,NULL,!MEM 05/177 MEM NAV ILS RWY 36R LOC OUT OF SERVICE 1605251300-1605251930,MEM,05/177,NULL,NAV ILS RWY 36R LOC OUT OF SERVICE,ZME//I/NBO/A/000/999/3502N08958W005,NULL,KMEM,00:00.0,30:00.0,NULL, NAV ILS RWY 36R LOCALIZER OUT OF SERVICE ,0,999,DOM,0177/16 NOTAMN,0,999,MSL,MSL,00:00.0,30:00.0,47:00.0,NULL,ZME,MEM,MEMPHIS INTL,MEMPHIS INTL,MEM,KMEM,NULL
